ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
295,MultiCat Age Groups,15-Dec,,46799,32418,VA and DOD data not included,2021/07/27 05:00:00+00
296,MultiCat Age Groups,16-18,,46617,36599,VA and DOD data not included,2021/07/27 05:00:00+00
297,MultiCat Age Groups,19-29,,178710,147140,VA and DOD data not included,2021/07/27 05:00:00+00
298,MultiCat Age Groups,30-39,,179313,151867,VA and DOD data not included,2021/07/27 05:00:00+00
299,MultiCat Age Groups,40-49,,181298,155713,VA and DOD data not included,2021/07/27 05:00:00+00
300,MultiCat Age Groups,50-59,,182262,159465,VA and DOD data not included,2021/07/27 05:00:00+00
301,MultiCat Age Groups,19-29,,190011,151558,VA and DOD data not included,2021/08/10 05:00:00+00
302,MultiCat Age Groups,30-39,,188810,155555,VA and DOD data not included,2021/08/10 05:00:00+00
303,MultiCat Age Groups,40-49,,188665,158881,VA and DOD data not included,2021/08/10 05:00:00+00
304,MultiCat Age Groups,50-59,,187341,161975,VA and DOD data not included,2021/08/10 05:00:00+00
305,MultiCat Age Groups,60-64,,86342,76081,VA and DOD data not included,2021/08/10 05:00:00+00
306,MultiCat Age Groups,65-75,,144436,129028,VA and DOD data not included,2021/08/10 05:00:00+00
307,MultiCat Age Groups,76-85,,57699,51120,VA and DOD data not included,2021/08/10 05:00:00+00
308,MultiCat Age Groups,86-95,,18251,15869,VA and DOD data not included,2021/08/10 05:00:00+00
309,MultiCat Age Groups,96+,,1650,1343,VA and DOD data not included,2021/08/10 05:00:00+00
310,5Cat Age Groups,12+,1672349,1367288,1102506,VA and DOD data included,2021/08/17 05:00:00+00
311,5Cat Age Groups,16+,1552823,1308272,1064128,VA and DOD data included,2021/08/17 05:00:00+00
312,5Cat Age Groups,18+,1511890,1273190,1038291,VA and DOD data included,2021/08/17 05:00:00+00
313,5Cat Age Groups,18-49,898710,603130,491866,VA and DOD data included,2021/08/17 05:00:00+00
314,5Cat Age Groups,50-64,336785,291848,242296,"VA data included, DOD data not included",2021/08/17 05:00:00+00
